Sheffield Weds,tied,Leeds,26/09/1994
Crystal Palace,beat,Arsenal,01/10/1994
Newcastle,beat,Aston Villa,01/10/1994
Leeds,beat,Man City,01/10/1994
Liverpool,beat,Sheffield Weds,01/10/1994
Man United,beat,Everton,01/10/1994
Norwich,beat,Blackburn,01/10/1994
Southampton,beat,Ipswich,01/10/1994
Tottenham,beat,Wimbledon,01/10/1994
West Ham,beat,Chelsea,02/10/1994
Nott'm Forest,beat,QPR,02/10/1994
Leicester,tied,Coventry,03/10/1994
Chelsea,beat,Leicester,08/10/1994
Liverpool,beat,Aston Villa,08/10/1994
Man City,tied,Nott'm Forest,08/10/1994
Norwich,beat,Leeds,08/10/1994
Sheffield Weds,beat,Man United,08/10/1994
Southampton,beat,Everton,08/10/1994
Tottenham,tied,QPR,08/10/1994
West Ham,beat,Crystal Palace,08/10/1994
Arsenal,beat,Wimbledon,08/10/1994
Newcastle,tied,Blackburn,09/10/1994
Coventry,beat,Ipswich,10/10/1994
Arsenal,beat,Chelsea,15/10/1994
Aston Villa,tied,Norwich,15/10/1994
Blackburn,beat,Liverpool,15/10/1994
Newcastle,beat,Crystal Palace,15/10/1994
Coventry,beat,Everton,15/10/1994
Leeds,tied,Tottenham,15/10/1994
Leicester,beat,Southampton,15/10/1994
Man United,beat,West Ham,15/10/1994
Man City,beat,QPR,15/10/1994
Sheffield Weds,beat,Ipswich,16/10/1994
Nott'm Forest,beat,Wimbledon,17/10/1994
Nott'm Forest,beat,Aston Villa,22/10/1994
Crystal Palace,beat,Everton,22/10/1994
Liverpool,beat,Wimbledon,22/10/1994
Man City,beat,Tottenham,22/10/1994
Newcastle,beat,Sheffield Weds,22/10/1994
Norwich,beat,QPR,22/10/1994
West Ham,beat,Southampton,22/10/1994
Arsenal,beat,Coventry,23/10/1994
Man United,beat,Blackburn,23/10/1994
Chelsea,beat,Ipswich,23/10/1994
Leeds,beat,Leicester,24/10/1994
Coventry,beat,Man City,29/10/1994
Everton,tied,Arsenal,29/10/1994
Liverpool,beat,Ipswich,29/10/1994
Crystal Palace,beat,Leicester,29/10/1994
Man United,beat,Newcastle,29/10/1994
Blackburn,beat,Nott'm Forest,29/10/1994
QPR,beat,Aston Villa,29/10/1994
Sheffield Weds,tied,Chelsea,29/10/1994
Leeds,beat,Southampton,29/10/1994
Tottenham,beat,West Ham,29/10/1994
Wimbledon,beat,Norwich,30/10/1994
QPR,beat,Liverpool,31/10/1994
Everton,beat,West Ham,01/11/1994
